ChunkContent,Subject,Predicate,Object,Confidence,Expert Answer,Short Justification
"[0012] The following description and drawings merely illustrate the principles of the invention. It will thus be appreciated that those skilled in the art will be able to devise various arrangements that, although not explicitly described or shown herein, embody the principles of the invention and are included within its scope. Furthermore, all examples recited herein are principally intended expressly to be only for illustrative purposes to aid the reader in understanding the principles of the invention and the concepts contributed by the inventor(s) to furthering the art and are to be construed as being without limitation to such specifically recited examples and conditions. Additionally, the term, “or,” as used herein, refers to a non-exclusive or, unless otherwise indicated (e.g., “or else” or “or in the alternative”). Also, the various embodiments described herein are not necessarily mutually exclusive, as some embodiments can be combined with one or more other embodiments to form new embodiments.
[0013] The numerous innovative teachings of the present application will be described with particular reference to the presently preferred exemplary embodiments. However, it should be understood that this class of embodiments provides only a few examples of the many advantageous uses of the innovative teachings herein. In general, statements made in the specification of the present application do not necessarily limit any of the various claimed inventions. Moreover, some statements may apply to some inventive features but not to others. Those skilled in the art and informed by the teachings herein will realize that the invention is also applicable to various other technical areas or embodiments.
",examples,are,without limitation to such specifically recited examples and conditions,0.88,,
"[0012] The following description and drawings merely illustrate the principles of the invention. It will thus be appreciated that those skilled in the art will be able to devise various arrangements that, although not explicitly described or shown herein, embody the principles of the invention and are included within its scope. Furthermore, all examples recited herein are principally intended expressly to be only for illustrative purposes to aid the reader in understanding the principles of the invention and the concepts contributed by the inventor(s) to furthering the art and are to be construed as being without limitation to such specifically recited examples and conditions. Additionally, the term, “or,” as used herein, refers to a non-exclusive or, unless otherwise indicated (e.g., “or else” or “or in the alternative”). Also, the various embodiments described herein are not necessarily mutually exclusive, as some embodiments can be combined with one or more other embodiments to form new embodiments.
[0013] The numerous innovative teachings of the present application will be described with particular reference to the presently preferred exemplary embodiments. However, it should be understood that this class of embodiments provides only a few examples of the many advantageous uses of the innovative teachings herein. In general, statements made in the specification of the present application do not necessarily limit any of the various claimed inventions. Moreover, some statements may apply to some inventive features but not to others. Those skilled in the art and informed by the teachings herein will realize that the invention is also applicable to various other technical areas or embodiments.
",the various embodiments described herein,can be combined with,one or more other embodiments to form new embodiments,0.91,,
"[0012] The following description and drawings merely illustrate the principles of the invention. It will thus be appreciated that those skilled in the art will be able to devise various arrangements that, although not explicitly described or shown herein, embody the principles of the invention and are included within its scope. Furthermore, all examples recited herein are principally intended expressly to be only for illustrative purposes to aid the reader in understanding the principles of the invention and the concepts contributed by the inventor(s) to furthering the art and are to be construed as being without limitation to such specifically recited examples and conditions. Additionally, the term, “or,” as used herein, refers to a non-exclusive or, unless otherwise indicated (e.g., “or else” or “or in the alternative”). Also, the various embodiments described herein are not necessarily mutually exclusive, as some embodiments can be combined with one or more other embodiments to form new embodiments.
[0013] The numerous innovative teachings of the present application will be described with particular reference to the presently preferred exemplary embodiments. However, it should be understood that this class of embodiments provides only a few examples of the many advantageous uses of the innovative teachings herein. In general, statements made in the specification of the present application do not necessarily limit any of the various claimed inventions. Moreover, some statements may apply to some inventive features but not to others. Those skilled in the art and informed by the teachings herein will realize that the invention is also applicable to various other technical areas or embodiments.
",the numerous innovative teachings of the present application,will be described with,particular reference to the presently preferred exemplary embodiments,0.89,,
"[0012] The following description and drawings merely illustrate the principles of the invention. It will thus be appreciated that those skilled in the art will be able to devise various arrangements that, although not explicitly described or shown herein, embody the principles of the invention and are included within its scope. Furthermore, all examples recited herein are principally intended expressly to be only for illustrative purposes to aid the reader in understanding the principles of the invention and the concepts contributed by the inventor(s) to furthering the art and are to be construed as being without limitation to such specifically recited examples and conditions. Additionally, the term, “or,” as used herein, refers to a non-exclusive or, unless otherwise indicated (e.g., “or else” or “or in the alternative”). Also, the various embodiments described herein are not necessarily mutually exclusive, as some embodiments can be combined with one or more other embodiments to form new embodiments.
[0013] The numerous innovative teachings of the present application will be described with particular reference to the presently preferred exemplary embodiments. However, it should be understood that this class of embodiments provides only a few examples of the many advantageous uses of the innovative teachings herein. In general, statements made in the specification of the present application do not necessarily limit any of the various claimed inventions. Moreover, some statements may apply to some inventive features but not to others. Those skilled in the art and informed by the teachings herein will realize that the invention is also applicable to various other technical areas or embodiments.
",statements made in the specification of the present application,do not necessarily limit,any of the various claimed inventions,0.9,,
"[0012] The following description and drawings merely illustrate the principles of the invention. It will thus be appreciated that those skilled in the art will be able to devise various arrangements that, although not explicitly described or shown herein, embody the principles of the invention and are included within its scope. Furthermore, all examples recited herein are principally intended expressly to be only for illustrative purposes to aid the reader in understanding the principles of the invention and the concepts contributed by the inventor(s) to furthering the art and are to be construed as being without limitation to such specifically recited examples and conditions. Additionally, the term, “or,” as used herein, refers to a non-exclusive or, unless otherwise indicated (e.g., “or else” or “or in the alternative”). Also, the various embodiments described herein are not necessarily mutually exclusive, as some embodiments can be combined with one or more other embodiments to form new embodiments.
[0013] The numerous innovative teachings of the present application will be described with particular reference to the presently preferred exemplary embodiments. However, it should be understood that this class of embodiments provides only a few examples of the many advantageous uses of the innovative teachings herein. In general, statements made in the specification of the present application do not necessarily limit any of the various claimed inventions. Moreover, some statements may apply to some inventive features but not to others. Those skilled in the art and informed by the teachings herein will realize that the invention is also applicable to various other technical areas or embodiments.
",those skilled in the art,will realize,that the invention is applicable to various other technical areas or embodiments,0.93,,
[0026] The UV gel portion may be present in a total amount of at least 19% by weight of the cosmetic nail composition. ,UV Gel Portion,may be present in,at least 19% by weight of the Cosmetic Nail Composition,0.95,,
[0026] The UV gel portion may be present in a total amount of at least 19% by weight of the cosmetic nail composition. ,Concentration of UV Gel Portion,is,19% by weight,0.9,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,19-50% by weight of the Cosmetic Nail Composition,0.95,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,19-34% by weight of the Cosmetic Nail Composition,0.92,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,15-20% by weight of the Cosmetic Nail Composition,0.9,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,up to 50% by weight of the Cosmetic Nail Composition,0.88,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,up to 45% by weight of the Cosmetic Nail Composition,0.87,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,up to 40% by weight of the Cosmetic Nail Composition,0.86,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,up to 35% by weight of the Cosmetic Nail Composition,0.85,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,up to 34% by weight of the Cosmetic Nail Composition,0.84,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,up to 30% by weight of the Cosmetic Nail Composition,0.83,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,up to 25% by weight of the Cosmetic Nail Composition,0.82,,
"In some embodiments, the UV gel portion may be present in a total amount of 19-50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 19-34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of 15-20% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 50% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 45% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 40% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 35% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 34% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 30% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be
present in a total amount of up to 25% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of up to 20% by weight of the cosmetic nail composition. ",UV Gel Portion,may be present in,up to 20% by weight of the Cosmetic Nail Composition,0.81,,
UV-Curable Materials. ,UV Gel Portion,is in,Cosmetic Nail Composition,0.9,,
UV-Curable Materials. ,Introduction,is related to,UV-Curable Materials,0.85,,
"In some embodiments, the UV gel portion may be present in a total amount of at least 15% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 16% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 17% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 18% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 19% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 20% by weight of the cosmetic nail composition.
",UV Gel Portion,may be present in a total amount of at least,15% by weight of Cosmetic Nail Composition,0.95,,
"In some embodiments, the UV gel portion may be present in a total amount of at least 15% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 16% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 17% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 18% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 19% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 20% by weight of the cosmetic nail composition.
",UV Gel Portion,may be present in a total amount of at least,16% by weight of Cosmetic Nail Composition,0.95,,
"In some embodiments, the UV gel portion may be present in a total amount of at least 15% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 16% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 17% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 18% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 19% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 20% by weight of the cosmetic nail composition.
",UV Gel Portion,may be present in a total amount of at least,17% by weight of Cosmetic Nail Composition,0.95,,
"In some embodiments, the UV gel portion may be present in a total amount of at least 15% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 16% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 17% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 18% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 19% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 20% by weight of the cosmetic nail composition.
",UV Gel Portion,may be present in a total amount of at least,18% by weight of Cosmetic Nail Composition,0.95,,
"In some embodiments, the UV gel portion may be present in a total amount of at least 15% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 16% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 17% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 18% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 19% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 20% by weight of the cosmetic nail composition.
",UV Gel Portion,may be present in a total amount of at least,19% by weight of Cosmetic Nail Composition,0.95,,
"In some embodiments, the UV gel portion may be present in a total amount of at least 15% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 16% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 17% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 18% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 19% by weight of the cosmetic nail composition. In some embodiments, the UV gel portion may be present in a total amount of at least 20% by weight of the cosmetic nail composition.
",UV Gel Portion,may be present in a total amount of at least,20% by weight of Cosmetic Nail Composition,0.95,,
"[0027] The plurality of UV-curable materials may include a difunctional acrylate oligomer.
",UV-curable Materials,include,Difunctional Acrylate Oligomer,0.95,,
