ChunkContent,Subject,Predicate,Object,Confidence,Expert Answer,Short Justification,<- Fill the Answers in these columns
"(81) Designated States (unless otherwise indicated, for every kind of national protection available): AE, AG, AL, AM, AO, AT, AU, AZ, BA, BB, BG, BH, BN, BR, BW, BY, BZ, CA, CH, CL, CN, CO, CR, CU, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, GT, HN, HR, HU, ID, IL, IN, IR, IS, IT, JO, JP, KE, KG, KH, KN, KP, KR, KW, KZ, LA, LC, LK, LR, LS, LU, LY, ma, MD, ME, mg, MK, MN, MW, MX, MY, MZ, NA, NG, NI, NO, NZ, OM, PA, PE, PG, PH, PL, PT, QA, RO, RS, RU, RW, SA, SC, SD, SE, SG, SK, SL, ST, SV, SY, TH, TJ, TM, TN, Tr, TT, TZ, UA, UG, US, UZ, VC, VN, WS, ZA, ZM, ZW.
",Designated States,includes,"AE, AG, AL, AM, AO, AT, AU, AZ, BA, BB, BG, BH, BN, BR, BW, BY, BZ, CA, CH, CL, CN, CO, CR, CU, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, GT, HN, HR, HU, ID, IL, IN, IR, IS, IT, JO, JP, KE, KG, KH, KN, KP, KR, KW, KZ, LA, LC, LK, LR, LS, LU, LY, ma, MD, ME, mg, MK, MN, MW, MX, MY, MZ, NA, NG, NI, NO, NZ, OM, PA, PE, PG, PH, PL, PT, QA, RO, RS, RU, RW, SA, SC, SD, SE, SG, SK, SL, ST, SV, SY, TH, TJ, TM, TN, Tr, TT, TZ, UA, UG, US, UZ, VC, VN, WS, ZA, ZM, ZW",0.92,,,
"(84) Designated States (unless otherwise indicated, for every kind of regional protection available): ARIPO (BW, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SD, SL, ST, SZ, TZ, UG, ZM, ZW), Eurasian (am, AZ, BY, KG, KZ, RU, TJ, TM), European (AL, at, BE, BG, CH, cy, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, it, LT, LU, LV, MC, MK, MT, NL, NO, PL, pt, RO, RS, SE, SI, SK, SM, Tr), OAPI (BF, BJ, cf, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG).
",ARIPO,provides,Regional Protection,0.95,,,
"(84) Designated States (unless otherwise indicated, for every kind of regional protection available): ARIPO (BW, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SD, SL, ST, SZ, TZ, UG, ZM, ZW), Eurasian (am, AZ, BY, KG, KZ, RU, TJ, TM), European (AL, at, BE, BG, CH, cy, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, it, LT, LU, LV, MC, MK, MT, NL, NO, PL, pt, RO, RS, SE, SI, SK, SM, Tr), OAPI (BF, BJ, cf, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG).
",Eurasian Patent Organization,provides,Regional Protection,0.95,,,
"(84) Designated States (unless otherwise indicated, for every kind of regional protection available): ARIPO (BW, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SD, SL, ST, SZ, TZ, UG, ZM, ZW), Eurasian (am, AZ, BY, KG, KZ, RU, TJ, TM), European (AL, at, BE, BG, CH, cy, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, it, LT, LU, LV, MC, MK, MT, NL, NO, PL, pt, RO, RS, SE, SI, SK, SM, Tr), OAPI (BF, BJ, cf, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG).
",European Patent Organisation,provides,Regional Protection,0.95,,,
"(84) Designated States (unless otherwise indicated, for every kind of regional protection available): ARIPO (BW, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SD, SL, ST, SZ, TZ, UG, ZM, ZW), Eurasian (am, AZ, BY, KG, KZ, RU, TJ, TM), European (AL, at, BE, BG, CH, cy, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, it, LT, LU, LV, MC, MK, MT, NL, NO, PL, pt, RO, RS, SE, SI, SK, SM, Tr), OAPI (BF, BJ, cf, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG).
",OAPI,provides,Regional Protection,0.95,,,
"(54) Title: COMPOSITION FOR CARING FOR KERATIN MATERIALS
(57) Abstract: A composition for caring for keratin materials in form of hydrous gel, comprising: a) at least one water insoluble active ingredient; b) from 0.05wt. % to 0.3wt. % of at least one crosslinked acrylic acid homopolymer; c) from 0.05wt. % to 0.2wt. % of at least one xanthan gum; and d) from 0.02wt. % to 0.2wt. % of at least one polymer selected from alginicacid and alginates, wherein the content is calculated based on the total weight of the composition. A non-therapeutic process for caring for keratin materials, comprising the step of applying the composition as described above to the keratin materials.
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
COMPOSITION FOR CARING FOR KERATIN MATERIALS
",COMPOSITION FOR CARING FOR KERATIN MATERIALS,comprises,at least one water insoluble active ingredient,0.95,,,
"(54) Title: COMPOSITION FOR CARING FOR KERATIN MATERIALS
(57) Abstract: A composition for caring for keratin materials in form of hydrous gel, comprising: a) at least one water insoluble active ingredient; b) from 0.05wt. % to 0.3wt. % of at least one crosslinked acrylic acid homopolymer; c) from 0.05wt. % to 0.2wt. % of at least one xanthan gum; and d) from 0.02wt. % to 0.2wt. % of at least one polymer selected from alginicacid and alginates, wherein the content is calculated based on the total weight of the composition. A non-therapeutic process for caring for keratin materials, comprising the step of applying the composition as described above to the keratin materials.
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
COMPOSITION FOR CARING FOR KERATIN MATERIALS
",COMPOSITION FOR CARING FOR KERATIN MATERIALS,comprises,from 0.05wt. % to 0.3wt. % of at least one crosslinked acrylic acid homopolymer,0.96,,,
"(54) Title: COMPOSITION FOR CARING FOR KERATIN MATERIALS
(57) Abstract: A composition for caring for keratin materials in form of hydrous gel, comprising: a) at least one water insoluble active ingredient; b) from 0.05wt. % to 0.3wt. % of at least one crosslinked acrylic acid homopolymer; c) from 0.05wt. % to 0.2wt. % of at least one xanthan gum; and d) from 0.02wt. % to 0.2wt. % of at least one polymer selected from alginicacid and alginates, wherein the content is calculated based on the total weight of the composition. A non-therapeutic process for caring for keratin materials, comprising the step of applying the composition as described above to the keratin materials.
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
COMPOSITION FOR CARING FOR KERATIN MATERIALS
",COMPOSITION FOR CARING FOR KERATIN MATERIALS,comprises,from 0.05wt. % to 0.2wt. % of at least one xanthan gum,0.96,,,
"(54) Title: COMPOSITION FOR CARING FOR KERATIN MATERIALS
(57) Abstract: A composition for caring for keratin materials in form of hydrous gel, comprising: a) at least one water insoluble active ingredient; b) from 0.05wt. % to 0.3wt. % of at least one crosslinked acrylic acid homopolymer; c) from 0.05wt. % to 0.2wt. % of at least one xanthan gum; and d) from 0.02wt. % to 0.2wt. % of at least one polymer selected from alginicacid and alginates, wherein the content is calculated based on the total weight of the composition. A non-therapeutic process for caring for keratin materials, comprising the step of applying the composition as described above to the keratin materials.
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
COMPOSITION FOR CARING FOR KERATIN MATERIALS
",COMPOSITION FOR CARING FOR KERATIN MATERIALS,comprises,from 0.02wt. % to 0.2wt. % of at least one polymer selected from alginic acid and alginates,0.94,,,
"(54) Title: COMPOSITION FOR CARING FOR KERATIN MATERIALS
(57) Abstract: A composition for caring for keratin materials in form of hydrous gel, comprising: a) at least one water insoluble active ingredient; b) from 0.05wt. % to 0.3wt. % of at least one crosslinked acrylic acid homopolymer; c) from 0.05wt. % to 0.2wt. % of at least one xanthan gum; and d) from 0.02wt. % to 0.2wt. % of at least one polymer selected from alginicacid and alginates, wherein the content is calculated based on the total weight of the composition. A non-therapeutic process for caring for keratin materials, comprising the step of applying the composition as described above to the keratin materials.
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
COMPOSITION FOR CARING FOR KERATIN MATERIALS
",a non-therapeutic process,comprises,applying COMPOSITION FOR CARING FOR KERATIN MATERIALS to keratin materials,0.92,,,
"(54) Title: COMPOSITION FOR CARING FOR KERATIN MATERIALS
(57) Abstract: A composition for caring for keratin materials in form of hydrous gel, comprising: a) at least one water insoluble active ingredient; b) from 0.05wt. % to 0.3wt. % of at least one crosslinked acrylic acid homopolymer; c) from 0.05wt. % to 0.2wt. % of at least one xanthan gum; and d) from 0.02wt. % to 0.2wt. % of at least one polymer selected from alginicacid and alginates, wherein the content is calculated based on the total weight of the composition. A non-therapeutic process for caring for keratin materials, comprising the step of applying the composition as described above to the keratin materials.
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
COMPOSITION FOR CARING FOR KERATIN MATERIALS
",PCT/CN2021/123045,is associated with,COMPOSITION FOR CARING FOR KERATIN MATERIALS,0.9,,,
"(54) Title: COMPOSITION FOR CARING FOR KERATIN MATERIALS
(57) Abstract: A composition for caring for keratin materials in form of hydrous gel, comprising: a) at least one water insoluble active ingredient; b) from 0.05wt. % to 0.3wt. % of at least one crosslinked acrylic acid homopolymer; c) from 0.05wt. % to 0.2wt. % of at least one xanthan gum; and d) from 0.02wt. % to 0.2wt. % of at least one polymer selected from alginicacid and alginates, wherein the content is calculated based on the total weight of the composition. A non-therapeutic process for caring for keratin materials, comprising the step of applying the composition as described above to the keratin materials.
5
10
15
20
25
30
35
WO 2023/060387 PCT/CN2021/123045
COMPOSITION FOR CARING FOR KERATIN MATERIALS
",WO 2023/060387,is associated with,COMPOSITION FOR CARING FOR KERATIN MATERIALS,0.88,,,
"TECHNICAL FIELD The present invention relates to a cosmetic composition, in particular, a composition for caring for keratin materials such as the skin and/or the lips, in particular the face. The present invention also relates to a cosmetic process for caring for keratin materials using said composition.
",the present invention,relates to,a cosmetic composition,0.95,,,
"TECHNICAL FIELD The present invention relates to a cosmetic composition, in particular, a composition for caring for keratin materials such as the skin and/or the lips, in particular the face. The present invention also relates to a cosmetic process for caring for keratin materials using said composition.
",a cosmetic composition,is for caring for,keratin materials,0.9,,,
"TECHNICAL FIELD The present invention relates to a cosmetic composition, in particular, a composition for caring for keratin materials such as the skin and/or the lips, in particular the face. The present invention also relates to a cosmetic process for caring for keratin materials using said composition.
",keratin materials,include,the skin and/or the lips,0.88,,,
"TECHNICAL FIELD The present invention relates to a cosmetic composition, in particular, a composition for caring for keratin materials such as the skin and/or the lips, in particular the face. The present invention also relates to a cosmetic process for caring for keratin materials using said composition.
",keratin materials,in particular include,the face,0.87,,,
"TECHNICAL FIELD The present invention relates to a cosmetic composition, in particular, a composition for caring for keratin materials such as the skin and/or the lips, in particular the face. The present invention also relates to a cosmetic process for caring for keratin materials using said composition.
",the present invention,relates to,a cosmetic process,0.93,,,
"TECHNICAL FIELD The present invention relates to a cosmetic composition, in particular, a composition for caring for keratin materials such as the skin and/or the lips, in particular the face. The present invention also relates to a cosmetic process for caring for keratin materials using said composition.
",a cosmetic process,is for caring for,keratin materials,0.89,,,
"TECHNICAL FIELD The present invention relates to a cosmetic composition, in particular, a composition for caring for keratin materials such as the skin and/or the lips, in particular the face. The present invention also relates to a cosmetic process for caring for keratin materials using said composition.
",a cosmetic process,uses,said composition,0.92,,,
"BACKGROUD ART Over time, it appears that keratin materials, such as the skin, lips, eyelashes, eyebrows, nails and hair are subject to ageing, reflected especially by a modification of their structures and their functions.
",keratin materials,are subject to,ageing,0.9,,,
"BACKGROUD ART Over time, it appears that keratin materials, such as the skin, lips, eyelashes, eyebrows, nails and hair are subject to ageing, reflected especially by a modification of their structures and their functions.
",ageing,modifies,structures of keratin materials,0.85,,,
"BACKGROUD ART Over time, it appears that keratin materials, such as the skin, lips, eyelashes, eyebrows, nails and hair are subject to ageing, reflected especially by a modification of their structures and their functions.
",ageing,modifies,functions of keratin materials,0.85,,,
"BACKGROUD ART Over time, it appears that keratin materials, such as the skin, lips, eyelashes, eyebrows, nails and hair are subject to ageing, reflected especially by a modification of their structures and their functions.
",keratin materials,include,skin,0.88,,,
"BACKGROUD ART Over time, it appears that keratin materials, such as the skin, lips, eyelashes, eyebrows, nails and hair are subject to ageing, reflected especially by a modification of their structures and their functions.
",keratin materials,include,lips,0.88,,,
"BACKGROUD ART Over time, it appears that keratin materials, such as the skin, lips, eyelashes, eyebrows, nails and hair are subject to ageing, reflected especially by a modification of their structures and their functions.
",keratin materials,include,eyelashes,0.88,,,
"BACKGROUD ART Over time, it appears that keratin materials, such as the skin, lips, eyelashes, eyebrows, nails and hair are subject to ageing, reflected especially by a modification of their structures and their functions.
",keratin materials,include,eyebrows,0.88,,,
"BACKGROUD ART Over time, it appears that keratin materials, such as the skin, lips, eyelashes, eyebrows, nails and hair are subject to ageing, reflected especially by a modification of their structures and their functions.
",keratin materials,include,nails,0.88,,,
"BACKGROUD ART Over time, it appears that keratin materials, such as the skin, lips, eyelashes, eyebrows, nails and hair are subject to ageing, reflected especially by a modification of their structures and their functions.
",keratin materials,include,hair,0.88,,,
"Endogenously, keratin materials are subject to attacks by superoxide ions, naturally produced during physiological cellular metabolic processes.
Exogenously, keratin materials are in the firing line for exposure to environmental factors which take part in their ageing, such as, for example, sunlight, especially via ultraviolet radiation, or else pollution.
The extrinsic ageing of the skin influenced by the environment supplements the intrinsic ageing linked to age, giving rise to characteristic skin damage and changes which are well described in the literature.
",Keratin Material,are subject to attacks by,Superoxide Ions,0.9,,,
"Endogenously, keratin materials are subject to attacks by superoxide ions, naturally produced during physiological cellular metabolic processes.
Exogenously, keratin materials are in the firing line for exposure to environmental factors which take part in their ageing, such as, for example, sunlight, especially via ultraviolet radiation, or else pollution.
The extrinsic ageing of the skin influenced by the environment supplements the intrinsic ageing linked to age, giving rise to characteristic skin damage and changes which are well described in the literature.
",Keratin Material,are exposed to,Ultraviolet Radiation,0.88,,,
"Endogenously, keratin materials are subject to attacks by superoxide ions, naturally produced during physiological cellular metabolic processes.
Exogenously, keratin materials are in the firing line for exposure to environmental factors which take part in their ageing, such as, for example, sunlight, especially via ultraviolet radiation, or else pollution.
The extrinsic ageing of the skin influenced by the environment supplements the intrinsic ageing linked to age, giving rise to characteristic skin damage and changes which are well described in the literature.
",Keratin Material,are exposed to,Pollution,0.87,,,
"Endogenously, keratin materials are subject to attacks by superoxide ions, naturally produced during physiological cellular metabolic processes.
Exogenously, keratin materials are in the firing line for exposure to environmental factors which take part in their ageing, such as, for example, sunlight, especially via ultraviolet radiation, or else pollution.
The extrinsic ageing of the skin influenced by the environment supplements the intrinsic ageing linked to age, giving rise to characteristic skin damage and changes which are well described in the literature.
",Extrinsic Ageing,is influenced by,the environment,0.85,,,
"Endogenously, keratin materials are subject to attacks by superoxide ions, naturally produced during physiological cellular metabolic processes.
Exogenously, keratin materials are in the firing line for exposure to environmental factors which take part in their ageing, such as, for example, sunlight, especially via ultraviolet radiation, or else pollution.
The extrinsic ageing of the skin influenced by the environment supplements the intrinsic ageing linked to age, giving rise to characteristic skin damage and changes which are well described in the literature.
",Extrinsic Ageing,supplements,Intrinsic Ageing,0.84,,,
"Several compositions or methods for preventing and/or treating the signs of skin ageing are known in the prior art.
1
5
10
15
20
25
30
WO 2023/060387 PCT/CN2021/123045
",Several compositions or methods,are known in,the prior art,0.85,,,
"Several compositions or methods for preventing and/or treating the signs of skin ageing are known in the prior art.
1
5
10
15
20
25
30
WO 2023/060387 PCT/CN2021/123045
",WO 2023/060387,relates to,PCT/CN2021/123045,0.88,,,
"Several compositions or methods for preventing and/or treating the signs of skin ageing are known in the prior art.
1
5
10
15
20
25
30
WO 2023/060387 PCT/CN2021/123045
",Keratin Material,is related to,Skin Ageing,0.9,,,
"From a macroscopic perspective, skin ageing is apparent with the appearance of wrinkles and of slackness. The aged skin is finer and more fragile than a young skin. Finally, aged skin tends to lose its elasticity, its barrier function against external attacks, and its ability for repair.
",Skin Ageing,is apparent with,appearance of Wrinkles,0.95,,,
"From a macroscopic perspective, skin ageing is apparent with the appearance of wrinkles and of slackness. The aged skin is finer and more fragile than a young skin. Finally, aged skin tends to lose its elasticity, its barrier function against external attacks, and its ability for repair.
",Skin Ageing,is apparent with,slackness,0.9,,,
"From a macroscopic perspective, skin ageing is apparent with the appearance of wrinkles and of slackness. The aged skin is finer and more fragile than a young skin. Finally, aged skin tends to lose its elasticity, its barrier function against external attacks, and its ability for repair.
",aged skin,is finer and more fragile than,young skin,0.88,,,
"From a macroscopic perspective, skin ageing is apparent with the appearance of wrinkles and of slackness. The aged skin is finer and more fragile than a young skin. Finally, aged skin tends to lose its elasticity, its barrier function against external attacks, and its ability for repair.
",aged skin,tends to lose,Skin Elasticity,0.92,,,
"From a macroscopic perspective, skin ageing is apparent with the appearance of wrinkles and of slackness. The aged skin is finer and more fragile than a young skin. Finally, aged skin tends to lose its elasticity, its barrier function against external attacks, and its ability for repair.
",aged skin,tends to lose,Barrier Function,0.9,,,
"From a macroscopic perspective, skin ageing is apparent with the appearance of wrinkles and of slackness. The aged skin is finer and more fragile than a young skin. Finally, aged skin tends to lose its elasticity, its barrier function against external attacks, and its ability for repair.
",aged skin,tends to lose,Repair Ability,0.91,,,
"From a cellular and molecular perspective, skin ageing is reflected by a loss in the ability of keratinocytes and fibroblasts to proliferate; a reduction in differentiation markers such as, for example, transglutaminases (TGMs), and in particular transglutaminase 3; an imbalance between the production of the constituents of the dermis, such as, for example, collagen and fibrillin, and their destruction by different metalloproteases (MMPs), causing the scales to tip in the favor of degradation of the extracellular matrix and tissue destruction; the loss of molecules whose function is to participate in junctions and in anchoring the epidermis to the dermis, such as, for example, fibronectin and integrin, which leads to weakening of the dermoepidermal junction.
",Keratinocytes,lose,ability to proliferate,0.85,,,
"From a cellular and molecular perspective, skin ageing is reflected by a loss in the ability of keratinocytes and fibroblasts to proliferate; a reduction in differentiation markers such as, for example, transglutaminases (TGMs), and in particular transglutaminase 3; an imbalance between the production of the constituents of the dermis, such as, for example, collagen and fibrillin, and their destruction by different metalloproteases (MMPs), causing the scales to tip in the favor of degradation of the extracellular matrix and tissue destruction; the loss of molecules whose function is to participate in junctions and in anchoring the epidermis to the dermis, such as, for example, fibronectin and integrin, which leads to weakening of the dermoepidermal junction.
",Fibroblasts,lose,ability to proliferate,0.85,,,
"From a cellular and molecular perspective, skin ageing is reflected by a loss in the ability of keratinocytes and fibroblasts to proliferate; a reduction in differentiation markers such as, for example, transglutaminases (TGMs), and in particular transglutaminase 3; an imbalance between the production of the constituents of the dermis, such as, for example, collagen and fibrillin, and their destruction by different metalloproteases (MMPs), causing the scales to tip in the favor of degradation of the extracellular matrix and tissue destruction; the loss of molecules whose function is to participate in junctions and in anchoring the epidermis to the dermis, such as, for example, fibronectin and integrin, which leads to weakening of the dermoepidermal junction.
",Reduction,occurs in,differentiation markers such as transglutaminases (TGMs),0.88,,,
"From a cellular and molecular perspective, skin ageing is reflected by a loss in the ability of keratinocytes and fibroblasts to proliferate; a reduction in differentiation markers such as, for example, transglutaminases (TGMs), and in particular transglutaminase 3; an imbalance between the production of the constituents of the dermis, such as, for example, collagen and fibrillin, and their destruction by different metalloproteases (MMPs), causing the scales to tip in the favor of degradation of the extracellular matrix and tissue destruction; the loss of molecules whose function is to participate in junctions and in anchoring the epidermis to the dermis, such as, for example, fibronectin and integrin, which leads to weakening of the dermoepidermal junction.
",Reduction,particularly occurs in,transglutaminase 3,0.88,,,
"From a cellular and molecular perspective, skin ageing is reflected by a loss in the ability of keratinocytes and fibroblasts to proliferate; a reduction in differentiation markers such as, for example, transglutaminases (TGMs), and in particular transglutaminase 3; an imbalance between the production of the constituents of the dermis, such as, for example, collagen and fibrillin, and their destruction by different metalloproteases (MMPs), causing the scales to tip in the favor of degradation of the extracellular matrix and tissue destruction; the loss of molecules whose function is to participate in junctions and in anchoring the epidermis to the dermis, such as, for example, fibronectin and integrin, which leads to weakening of the dermoepidermal junction.
",Imbalance,occurs between,production of collagen and fibrillin and their destruction,0.9,,,
"From a cellular and molecular perspective, skin ageing is reflected by a loss in the ability of keratinocytes and fibroblasts to proliferate; a reduction in differentiation markers such as, for example, transglutaminases (TGMs), and in particular transglutaminase 3; an imbalance between the production of the constituents of the dermis, such as, for example, collagen and fibrillin, and their destruction by different metalloproteases (MMPs), causing the scales to tip in the favor of degradation of the extracellular matrix and tissue destruction; the loss of molecules whose function is to participate in junctions and in anchoring the epidermis to the dermis, such as, for example, fibronectin and integrin, which leads to weakening of the dermoepidermal junction.
",Metalloproteases (MMPs),cause,degradation of the extracellular matrix and tissue destruction,0.91,,,
"From a cellular and molecular perspective, skin ageing is reflected by a loss in the ability of keratinocytes and fibroblasts to proliferate; a reduction in differentiation markers such as, for example, transglutaminases (TGMs), and in particular transglutaminase 3; an imbalance between the production of the constituents of the dermis, such as, for example, collagen and fibrillin, and their destruction by different metalloproteases (MMPs), causing the scales to tip in the favor of degradation of the extracellular matrix and tissue destruction; the loss of molecules whose function is to participate in junctions and in anchoring the epidermis to the dermis, such as, for example, fibronectin and integrin, which leads to weakening of the dermoepidermal junction.
",Loss,occurs in molecules such as,fibronectin and integrin,0.87,,,
"From a cellular and molecular perspective, skin ageing is reflected by a loss in the ability of keratinocytes and fibroblasts to proliferate; a reduction in differentiation markers such as, for example, transglutaminases (TGMs), and in particular transglutaminase 3; an imbalance between the production of the constituents of the dermis, such as, for example, collagen and fibrillin, and their destruction by different metalloproteases (MMPs), causing the scales to tip in the favor of degradation of the extracellular matrix and tissue destruction; the loss of molecules whose function is to participate in junctions and in anchoring the epidermis to the dermis, such as, for example, fibronectin and integrin, which leads to weakening of the dermoepidermal junction.
",Loss,leads to,weakening of the dermoepidermal junction,0.89,,,
"Therefore, there is a need for a composition for caring for keratin materials with a low viscosity, which can stably suspend a water insoluble active ingredient in the system and does not result in noodles upon application.
",composition,is for,caring for keratin materials,0.9,,,
"Therefore, there is a need for a composition for caring for keratin materials with a low viscosity, which can stably suspend a water insoluble active ingredient in the system and does not result in noodles upon application.
",composition,can stably suspend,water insoluble active ingredient,0.88,,,
"However, some active ingredients, for example, vitreosilla ferment, are not soluble in water. Thus, it is not easy for them to suspend in hydrous gel-like product stably.
Additionally, some cosmetic products in the market are easily to result in noodles upon application, which is not preferred for consumers.
Thus, it is desired to have a cosmetic product comprising a water insoluble active ingredient without the risk of noodles.
Meanwhile, it is desired to have a cosmetic product with a low viscosity to deliver a fresh sensory.
",vitreosilla ferment,are not soluble in,water,0.95,,,
